ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-15 17:55:05,1.0,0.9999999987479662,1.000000001302,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 17:55:30,1.0,0.9999999986545289,1.000000001178655,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 17:56:46,1.0,0.9999999987252244,1.0000000012421884,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 17:58:29,1.0,0.9999999986614878,1.00000000123226,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:02:22,1.0,0.9999999987113097,1.000000001296987,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:02:23,1.0,0.999999998742518,1.0000000013756165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:10:55,1.0,0.999999998620944,1.0000000012637638,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:12:06,1.0,0.9999999987739117,1.0000000012865211,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:15:06,1.0,0.9999999986115338,1.000000001245487,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:16:23,1.0,0.9999999987517424,1.0000000013063222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:16:27,1.0,0.9999999987524353,1.0000000013985921,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:20:16,1.0,0.9999999987259136,1.0000000013213626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:21:42,1.0,0.9999999987224417,1.0000000013033479,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:25:26,1.0,0.9999999987178921,1.0000000012958186,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:25:47,1.0,0.9999999987290848,1.0000000013618944,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:26:53,1.0,0.9999999987345046,1.00000000128299,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:31:48,1.0,0.9999999987509587,1.0000000013212527,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:34:41,1.0,0.9999999987141106,1.0000000013469021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:40:16,1.0,0.9999999987373511,1.000000001262398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:40:58,1.0,0.9999999987474135,1.0000000012062824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:46:34,1.0,0.9999999987745278,1.0000000012957109,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 18:52:09,1.0,0.9999999986742407,1.0000000013371135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:06:00,1.0,0.9999999987582312,1.0000000013546244,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:07:44,1.0,0.9999999987902823,1.0000000012322725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:16:59,1.0,0.9999999988089322,1.0000000012587165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:17:17,1.0,0.9999999986629441,1.0000000012489574,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:19:04,1.0,0.9999999987364234,1.0000000013518,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:19:58,1.0,0.999999998721526,1.0000000012537182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:19:59,1.0,0.9999999986954249,1.0000000013754022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:34:33,1.0,0.9999999986913088,1.0000000012671126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:44:55,1.0,0.9999999987796188,1.0000000013094967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:56:57,1.0,0.9999999988007142,1.0000000012349841,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 19:57:59,1.0,0.9999999987350976,1.0000000013007644,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:02:17,1.0,0.9999999986870658,1.0000000011672743,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:03:31,1.0,0.999999998783267,1.0000000012800276,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:03:35,1.0,0.9999999986882411,1.0000000012693426,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:06:34,1.0,0.9999999986662962,1.0000000012502015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:07:44,1.0,0.9999999986316446,1.0000000012565284,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:19:22,1.0,0.9999999987175111,1.0000000012496693,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:19:24,1.0,0.999999998713967,1.0000000012956216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:21:23,1.0,0.9999999988630951,1.0000000013374855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:24:12,1.0,0.9999999987013256,1.0000000012470247,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:34:32,1.0,0.9999999986528965,1.0000000013667607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:35:22,1.0,0.9999999986810196,1.0000000014022472,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:37:04,1.0,0.9999999986912314,1.0000000012250312,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:40:16,1.0,0.9999999987287692,1.000000001205158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:45:15,1.0,0.9999999987810478,1.000000001281847,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:48:17,1.0,0.9999999986285864,1.0000000012841819,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:49:39,1.0,0.9999999986503331,1.0000000012449908,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:51:26,1.0,0.9999999987302672,1.0000000013193213,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:54:21,1.0,0.9999999986710377,1.0000000012741994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-15 20:58:08,1.0,0.9999999987851044,1.0000000012674106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
